source_id,RA_deg,ra_error,Dec_deg,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,l,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot,phot_bp_rp_excess_factor,duplicated_source
1433147955800632960,259.7991177571488,0.020201601,57.67261088978875,0.019216657,0.7241872861611031,0.019067818,0.6188563569815941,0.025620246,1.2923647683611899,0.025025543,,,86.08294264681908,34.87095278147566,14.948202,15.302838,14.423588,0.8792505,0.98666286,1302.7734,1.2055664,False
1433147990159320448,259.82654448319335,0.9285252,57.64816958223653,0.36980352,2.9799520068882,0.36997345,-39.77049842298666,1.1049799,-39.00865657834777,0.4525134,,,86.0521115448006,34.85781175857735,19.059608,,,,1.2113365,,,False
1433148088943397760,259.862975753689,0.2171169,57.674033608190626,0.23012479,3.2737267045191762,0.22191991,-2.9398354436907734,0.2855047,-59.43352639910407,0.31181052,,,86.08211949250895,34.836782034644635,19.41515,21.155277,18.161543,2.9937344,1.0458542,,1.4815533,False
1433148230678544000,259.92158970799727,0.050954893,57.70057308211178,0.048082925,0.35217101569123804,0.051562157,-4.45772812961342,0.062493373,3.83170112429807,0.0649641,,,86.11207477357182,34.803899602435145,17.041353,17.356298,16.566116,0.7901821,1.0605445,1837.4548,1.1947033,False
1433148368117495808,259.8500323850705,0.02382982,57.69639800777857,0.023932137,0.684403790523209,0.024295405,-3.623375548860625,0.029134912,2.8125598734841644,0.030660424,,,86.10983240881843,34.84232120449992,15.471855,15.812846,14.963452,0.84939384,0.91661453,1363.4921,1.2020681,False
1433148642995399936,259.7503704496149,0.0132751865,57.675237001152524,0.013680702,2.1880104609809634,0.013766786,-25.294068178878398,0.016402729,16.01004020087678,0.017912725,-87.31652,2.8581758,86.08811511444388,34.89680584519322,14.062853,14.502478,13.458231,1.0442467,0.9208239,454.2648,1.2183647,False
1433148673058949120,259.7547311473343,0.06898229,57.670234640005894,0.067811124,3.3455921094619376,0.06970654,-8.037710657058142,0.08622404,-10.296219755938166,0.09413867,,,86.08185023108206,34.89479138717623,17.47458,18.955694,16.31013,2.645565,0.90690416,295.9973,1.4156083,False
1433148810497902848,259.7104551848806,0.05339937,57.672271729319846,0.05318652,0.44313157197072434,0.05579783,1.5848093209469742,0.06665539,-0.6259288314356297,0.07459051,,,86.08614336520151,34.91829435288077,17.051847,17.397348,16.543434,0.85391426,1.0302638,1753.0227,1.1998789,False
1433148814794091264,259.7078614432488,0.029097607,57.6789209675504,0.029343562,0.7461690318705769,0.03070839,0.616160852962724,0.03568458,-17.04320654636032,0.04025115,,,86.09434327571198,34.91925800200832,15.854808,16.255472,15.291155,0.9643173,0.94508296,1030.5667,1.2088358,False
1433148913577119616,259.71873502718256,0.18713553,57.689475871174444,0.20633838,1.040825172551159,0.19911751,-2.661670223449331,0.22951823,-9.269346204840682,0.29790393,,,86.10674085932314,34.91278888675323,19.268778,20.488293,18.22481,2.263483,0.9403324,,1.3368939,False
1433148913577120896,259.73170977869023,0.115651,57.69602714459293,0.119645394,1.3020487799210911,0.11665738,-1.488775192024819,0.14311278,4.698264636880529,0.1676113,,,86.11417920977826,34.905454217605794,18.430353,19.574018,17.339941,2.2340775,1.0228862,691.7093,1.4020814,False
1433148986592786688,259.79743543493356,0.014099307,57.71208482792746,0.014173502,1.0766567508844012,0.014074189,-0.6697908877210348,0.0180683,-5.415066938129817,0.017913511,12.964977,4.2522144,86.13103042780926,34.86939915993008,14.249012,14.583962,13.75181,0.83215237,1.0146991,884.8582,1.1981229,False
1433149566412169856,259.87179675716715,0.14825657,57.759086179301875,0.15179682,3.1563812381879934,0.15030268,-3.7716990085277278,0.1787228,27.513000764965,0.20066808,,,86.18518980044082,34.82686240013915,18.868553,20.371931,17.698002,2.6739292,1.0042185,292.5224,1.4187789,False
1433149463332949248,259.8456011850057,0.040226042,57.74103416969541,0.038645368,0.3337912367554156,0.03979126,-5.806603690150666,0.046391103,-3.444381303873026,0.049093228,,,86.16429269028235,34.84193093191051,16.48717,16.82851,15.990864,0.8376465,1.0650642,2048.1199,1.1944481,False
1433149467629126912,259.85715997446925,0.012583647,57.74522536495415,0.012067709,2.0010287500393034,0.012566678,-2.2898634165665137,0.014027717,15.016327504544817,0.015057192,-24.872826,2.7594433,86.16892406875229,34.83551420254983,13.884402,14.304422,13.304712,0.9997101,0.9687386,505.0073,1.2105024,False
1433149605068083072,259.9128990750484,0.0108967805,57.777183399696746,0.01043999,0.4212566560175893,0.010982979,-6.004137455806061,0.013119346,0.5382778051298001,0.014191253,10.902451,1.672421,86.2055465151323,34.80386768174699,13.449871,13.903247,12.827901,1.075346,1.0166115,2274.9243,1.224109,False
1433149708147792128,259.9540994424263,0.030702652,57.71506094882062,0.029169794,0.8567013670306812,0.030630162,2.0778652174128256,0.037757985,-10.173663486696471,0.04032247,,,86.12841255838622,34.78569144408331,16.016897,16.461178,15.417271,1.0439072,1.0889559,1077.2463,1.2129222,False
1433149742507033600,259.97482999045457,0.033207607,57.71223365996589,0.031070676,0.437074633908684,0.034106784,1.0871396229966888,0.03961467,-6.493728745253083,0.044094894,,,86.12416974876571,34.774807219679346,16.25962,16.60355,15.751733,0.85181713,1.0116822,1537.4321,1.2003176,False
1433149742507034880,259.99281203031285,0.009767839,57.725022604641694,0.009881656,0.5311054586825588,0.010404465,-1.0521868172308975,0.011657399,-15.636941090751254,0.014565739,-113.97219,1.5370011,86.1390139279458,34.7644582099711,13.472631,13.979144,12.811884,1.1672602,0.91884905,1590.9563,1.2284361,False
1433149845585211136,260.00161533576664,0.25058496,57.72532397671705,0.23964067,1.7766219873580418,0.25042745,-7.6197772491623175,0.3055343,0.11377919630634731,0.37144083,,,86.13903976860549,34.759747809907836,19.58361,20.967854,18.395336,2.5725174,1.1040181,,1.4601995,False
1433149875650143360,260.03041612811836,0.024995526,57.7398771433942,0.02396418,0.8338113877388214,0.026212154,-0.9096031952314776,0.029497828,-13.345238987236481,0.034705173,,,86.15561166680091,34.74353612900516,15.679048,16.11805,15.0810375,1.0370121,1.0084316,1127.6692,1.2141819,False
1433150013088763392,259.9625412399136,0.110770926,57.73927263282447,0.110772155,1.2025638935631193,0.11503319,-6.156519048802759,0.13519536,7.703264450758113,0.1671724,,,86.15750842496138,34.779737118935046,18.475794,19.903692,17.33472,2.5689716,1.0065001,705.8516,1.3987153,False
1433150116168314240,259.9944986619453,0.033386208,57.75327168915761,0.031460606,1.0393604200284476,0.033441253,0.3421254852344921,0.040695116,-4.288665885055212,0.047263104,,,86.17327369160402,34.761872957262824,16.305275,16.888033,15.581735,1.3062983,0.99002624,929.0933,1.2436492,False
1433150184887455744,260.06230563180293,0.2373871,57.738070350508394,0.23491344,1.485533143589591,0.24385078,-3.7413958103549345,0.28349462,2.6329612221350023,0.35381275,,,86.15219678835848,34.72665022338807,19.63287,21.125574,18.391352,2.7342224,1.0167264,,1.5041378,False
1433150429701813504,260.1553765593237,0.03802979,57.78820121443651,0.037742488,0.42883041902999336,0.039160203,-4.000084599429174,0.046448637,-12.004701446210339,0.05525125,,,86.2095516884727,34.67416836045123,16.633106,16.992657,16.124823,0.8678341,1.0173233,1689.6669,1.1930153,False
1433150631564093184,260.156786720967,0.11921297,57.80822999286457,0.11828631,2.004698436741141,0.12187962,-12.759520103396966,0.14081323,12.592569153026808,0.18105341,,,86.23381154609254,34.67225727173953,18.548378,19.914772,17.41445,2.5003223,0.9879322,553.1694,1.4021657,False
1433150532781160064,260.0690506263488,0.031902116,57.78890598143623,0.029416176,1.4403520440685647,0.031459287,9.759604005832974,0.03854997,-2.902170885841796,0.043875974,,,86.21368197093442,34.72006393220785,16.165257,16.759119,15.431571,1.327548,0.95803344,702.7619,1.2470305,False
1433150562844606464,260.1002898962159,0.21716088,57.80024785649417,0.21647277,1.7038375430884245,0.22740638,-15.133890261592484,0.25267953,-11.536654300231096,0.3098133,,,86.22626043696931,34.70277463740888,19.453613,21.177906,18.246065,2.931841,1.0315615,,1.4282279,False
1433150567140763264,260.07446065455,0.0364289,57.78646698504008,0.03468158,1.41215888322129,0.03661764,9.715891190199542,0.04371084,-2.7982850330999764,0.051804032,,,86.2105124762836,34.717329280068334,16.46261,17.135668,15.682594,1.4530735,1.0231779,733.1646,1.2535745,False
1433150601500505216,260.1207670198768,0.0104709035,57.79608743806181,0.01026134,2.0193830077399455,0.010631202,1.342591069004642,0.012452845,17.25704599109436,0.014423769,-26.169952,2.5729485,86.22043043720906,34.69212509501069,13.448379,13.791854,12.943212,0.84864235,1.018816,486.2172,1.1988561,False
1433150734643269888,259.92789750824556,0.16145207,57.74246717765531,0.15896614,2.0526209161545625,0.16591592,-6.070965593277806,0.19320193,1.9223479431273005,0.22235368,,,86.16275233686689,34.79800122909532,18.947945,20.582214,17.743162,2.8390522,1.0522789,383.422,1.4377794,False
