source_id,RA_deg,RA_error,Dec_deg,Dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,l,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot,phot_bp_rp_excess_factor
1.43E+18,260.2620947,0.010165076,57.57927642,0.010419709,0.658917001,0.010843883,2.41518419,0.013643406,0.5130008,0.015402241,-42.319473,7.0530267,85.95210502,34.62886216,13.428035,13.736025,12.944568,0.7914572,1.0527846,,1.2031517
1.43E+18,260.6216059,0.017386317,57.99962304,0.015717015,1.479371788,0.017800843,-12.59016313,0.022066982,-24.99902565,0.019162744,-51.64893,7.2363963,86.44910615,34.41500242,14.505252,14.909501,13.9350605,0.9744406,1.0531862,662.7578,1.211455
1.43E+18,260.6037362,0.012075903,58.04433698,0.011476028,1.103110421,0.012399612,-7.45181081,0.014181393,-20.51750537,0.013731595,10.462038,3.3217804,86.50384757,34.42204962,13.545822,13.836607,13.094721,0.74188614,1.0542045,829.5358,1.1925768
1.43E+18,260.204037,0.018423043,58.28204593,0.016777236,0.98496494,0.018383928,-12.07933895,0.021486225,-8.971467749,0.022655243,-65.679214,7.243206,86.80685223,34.61860162,14.537197,14.888399,14.020438,0.86796093,1.0545763,936.0461,1.2023038
1.43E+18,259.9721547,0.018746633,58.30388912,0.021362908,1.497476423,0.020463403,-7.892865045,0.024006268,1.09341157,0.029697929,-45.169422,5.0314,86.84298244,34.73879748,14.740739,15.16352,14.158207,1.0053129,1.0571744,631.4334,1.2111323
1.43E+18,260.6545017,0.016725525,57.95199842,0.014085307,1.058794764,0.01727054,-0.130371148,0.01913388,-12.24458567,0.016751789,-8.63608,5.029862,86.39034618,34.40009755,14.101263,14.421906,13.600371,0.8215351,1.0617837,873.1314,1.2074542
1.43E+18,260.520436,0.014759816,58.13362317,0.013769099,1.103990071,0.015223999,-0.327801763,0.018014116,-5.872140908,0.017505366,-37.31994,5.5846686,86.61489917,34.46107714,14.310599,14.652711,13.8017,0.8510113,1.064309,845.0117,1.2018293
1.43E+18,260.1569871,0.013660146,58.03664346,0.013123193,1.957388705,0.014477847,-2.686998532,0.016168682,9.517549889,0.017930936,-3.510869,8.427417,86.51102344,34.65857362,10.166286,10.772714,9.424604,1.3481092,1.0662562,473.1741,1.2483175
1.43E+18,260.0723886,0.013483682,57.87106558,0.012367696,0.879856607,0.013218458,-0.616311729,0.016618662,-2.785398208,0.018497497,-17.635015,4.429485,86.3133287,34.71339034,13.965018,14.304823,13.461826,0.8429966,1.0693183,1116.769,1.1994284
1.43E+18,259.965661,0.009949949,57.84353793,0.009858298,2.347260281,0.010276378,3.215141327,0.012376403,-22.4100307,0.014564955,5.398623,1.5571325,86.2840882,34.77173991,13.217357,13.588408,12.682366,0.9060421,1.070669,415.6006,1.2042685
